,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
10,3.3706371027619753e-13,3.6548541970660153e-13,4.762856775641922e-13,6.87672141452822e-13,1.1544099010052378e-12,2.185363001672158e-12,4.460432023734029e-12,9.480638496484062e-12,2.0550894319626423e-11,4.494493666129529e-11,9.863354577532846e-11,2.1659318782951686e-10,4.750979609724482e-10,1.0394889393694484e-09,2.2650170627969146e-09,4.905342576577709e-09,1.0530730287783285e-08,2.2331771987182947e-08,4.6575983736474313e-08,9.505169829004956e-08,1.8880084140526776e-07,3.6327500541055713e-07,6.748452852090026e-07,1.208319368783961e-06,2.0839173342501738e-06,3.4590144162294223e-06,5.517017178435779e-06,8.43908340142363e-06,1.236602780596563e-05,1.736800453011611e-05,2.3436385707897855e-05,3.0497999214729177e-05,3.844046536372048e-05,4.7136516435397624e-05,5.646097509703907e-05,6.62997679297117e-05,7.655310732679332e-05,8.71353440696776e-05,9.797334621630682e-05,0.00010900449034045856,0.0001201747861212521,0.0001314373227518928,0.00014275105951333522,0.0001540799139803095,0.00016539208191534982,0.00017665952558720832,0.00018785757795458657,0.00019896462258506276,0.00020996182062771318,0.00022083286583662876,0.00023156375618671454,0.0002421425762892948,0.0002525592886115646,0.0002628055338522728,0.0002728744419531193,0.000282760455522002,0.0002924591671737975,0.0003019671717725547,0.0003112819339285977,0.0003204016705335988,0.0003293252476379571
11,3.694822225952521e-13,3.9968028886505635e-13,5.17585974080248e-13,7.420730696594546e-13,1.2376766278521245e-12,2.3312463071079037e-12,4.743982984223294e-12,1.0063727629017194e-11,2.1788570947478547e-11,4.760813965276611e-11,1.0439960007602167e-10,2.2909985020191925e-10,5.022100513230043e-10,1.0981229259243719e-09,2.3913082625171e-09,5.1756949837056254e-09,1.1104360764235821e-08,2.3533724746727103e-08,4.905115158493345e-08,1.0003081563070282e-07,1.9851538191062446e-07,3.815163598375193e-07,7.075686248025903e-07,1.2640754407655663e-06,2.1738549120797757e-06,3.5963308500086555e-06,5.716019204182743e-06,8.714275007593031e-06,1.2731658940667856e-05,1.783825693135732e-05,2.4026043614844284e-05,3.122329536342505e-05,3.931984799909749e-05,4.819122244081875e-05,5.7715399961466574e-05,6.778166581300482e-05,7.829365614786532e-05,8.916909778422522e-05,0.00010033808374587672,0.0001117409626909538,0.0001233263603317436,0.00013504952257470393,0.0001468710069982837,0.0001587556824129699,0.00017067197777875798,0.00018259132424569557,0.00019448774346564335,0.00020633754544086003,0.00021811910768554377,0.0002298127139304107,0.00024140043532838718,0.00025286604053564865,0.00026419492372586895,0.00027537404180977276,0.0002863918541613497,0.0002972382600592294,0.000307904530844505,0.00031838323541633073,0.000328668159035983,0.00033875421647300286,0.0003486373611998328
12,4.0167869030938164e-13,4.338751580235112e-13,5.586642259913788e-13,7.969180870759374e-13,1.3216094885137863e-12,2.4791280139879746e-12,5.030864613786434e-12,1.0654810367327627e-11,2.30415686530705e-11,5.030220684432152e-11,1.1022693868767419e-10,2.417266387055861e-10,5.295526239734727e-10,1.157190343548109e-09,2.518392161476868e-09,5.44744405139852e-09,1.1680325817664539e-08,2.4739281512253797e-08,5.153119553291674e-08,1.0501490099734667e-07,2.0823073243469992e-07,3.9974313148505303e-07,7.402356607677518e-07,1.3196749530930418e-06,2.263410179503822e-06,3.7327827546729253e-06,5.913183158234858e-06,8.985781156267691e-06,1.3090317192210321e-05,1.8296043267751472e-05,2.4594581459203013e-05,3.191454364737112e-05,4.0146751949299286e-05,4.916821339917554e-05,5.8858733322120216e-05,6.91096308480521e-05,7.982669704187373e-05,9.092987549741416e-05,0.0001023514966638217,0.0001140341348000451,0.0001259285993617798,0.00013799224644706065,0.00015018763440899363,0.00016248148201936097,0.00017484387013566582,0.00018724763123723065,0.00019966788156344784,0.00021208166161379438,0.000224467660101757,0.0002368060035518038,0.00024907809870611253,0.000261266518261305,0.0002733549224733789,0.0002853280103451983,0.00029717149464358883,0.0003088720951964774,0.0003204175449846858,0.0003317966036087139,0.0003429990729499899,0.0003540158102990354,0.00036483873492820784
13,4.340972026284362e-13,4.68070027181966e-13,6.001865671123596e-13,8.519851490973451e-13,1.4066525722000733e-12,2.6290081223123707e-12,5.3221871354480754e-12,1.1253886711415362e-11,2.4310997659426903e-11,5.302935868201075e-11,1.161197804577796e-10,2.544811028570848e-10,5.57141222046198e-10,1.2167253871098183e-09,2.6463418123512383e-09,5.720744322701421e-09,1.2258951631594073e-08,2.5949131954305926e-08,5.4017560646713036e-08,1.1000695243623682e-07,2.1795305027438872e-07,4.1796791494519425e-07,7.728722095645679e-07,1.3751712231169222e-06,2.352693970086861e-06,3.868600090273233e-06,6.108979219154875e-06,9.254537005620733e-06,1.344379344314639e-05,1.8744644353363427e-05,2.5147732275909718e-05,3.2581300914769074e-05,4.0936406637603895e-05,5.009076402995305e-05,5.992521155495645e-05,7.033230808262125e-05,8.121920991599474e-05,9.250730140464292e-05,0.0001041304006055288,0.00011603260067771792,0.00012816625293310402,0.00014049027313611795,0.0001529687923236267,0.0001655701084988248,0.00017826587860891863,0.0001910304939776175,0.00020384059303579782,0.00021667467648556205,0.0002295127997209434,0.00024233632476899913,0.0002551277195230739,0.0002678703958822748,0.00028054858109061165,0.00029314721833206825,0.00030565189376763335,0.00031804878782359935,0.00033032464881488366,0.00034246678693938826,0.00035446308642805846,0.0003663020332167477,0.00037797275499662497
14,4.667377595524158e-13,5.027089855502709e-13,6.419309528382655e-13,9.07718344933528e-13,1.4923617897011354e-12,2.780886632081092e-12,5.617506459998367e-12,1.1861178705885322e-11,2.559730205575761e-11,5.579026129964859e-11,1.2207967969857236e-10,2.6736812763772377e-10,5.849873918606363e-10,1.2767511492484118e-09,2.77520673108711e-09,5.995702379024692e-09,1.2840465135610657e-08,2.716375302469487e-08,5.651124124206319e-08,1.1500902696859328e-07,2.2768656382510244e-07,4.361993755086502e-07,8.054960933812083e-07,1.4306012081632957e-06,2.4417833350831586e-06,4.0039427382509984e-06,6.30373299670417e-06,9.521184989758069e-06,1.3793303971443294e-05,1.918625771013538e-05,2.5689278491114464e-05,3.322977619002465e-05,4.169856143088069e-05,5.0973574652557474e-05,6.0936208925888025e-05,7.147978736266047e-05,8.251235688572223e-05,9.395626679453706e-05,0.00010574634493321078,0.00011782772449087098,0.0001301538217106657,0.00014268464225009048,0.00015538543484550082,0.00016822564684315644,0.00018117811971007924,0.00019421846674805288,0.0002073245860532147,0.00022047627319898844,0.00023365490783566756,0.000246843195897517,0.0002600249546338418,0.00027318493160399804,0.0002863086515365598,0.00029938228688464186,0.0003123925493018209,0.0003253266001896904,0.00033817197919594477,0.00035091654999575006,0.0003635484630077901,0.00037605613484070766,0.0003884282442752074
15,4.991562718714704e-13,5.373479439185758e-13,6.841194277740215e-13,9.63895629979561e-13,1.5796253194366727e-12,2.9345414986892138e-12,5.916822587437309e-12,1.247757452915721e-11,2.6900925931272468e-11,5.858580287565474e-11,1.2810907890070666e-10,2.803921539396015e-10,6.131004592901945e-10,1.3372865037553083e-09,2.9050253314011343e-09,6.272396824158477e-09,1.3425029088409701e-08,2.838348245326472e-08,5.9012940978320216e-08,1.2002257543386463e-07,2.3743425225930537e-07,4.544436271736174e-07,8.381199445572918e-07,1.4859912473852432e-06,2.5307334572399753e-06,4.138925438379459e-06,6.4976777551795095e-06,9.7861827199619e-06,1.413970735475445e-05,1.962241699837719e-05,2.622182624811842e-05,3.3864190603249966e-05,4.243975653950294e-05,5.182638175660337e-05,6.190571617414875e-05,7.257155730844289e-05,8.373255639848587e-05,9.531174061327974e-05,0.00010724465618494605,0.00011947717801819024,0.00013196348042399109,0.00014466434280491214,0.00015754580635896076,0.0001705781346337254,0.00018373501492052746,0.0001969929419409766,0.00021033073633880406,0.00022372916205637416,0.00023717061644368265,0.00025063887448850686,0.0002641188740493128,0.00027759653287340313,0.0002910585908979524,0.00030449247323871553,0.00031788617058214896,0.00033122813466768264,0.0003445071872429928,0.00035771244141535874,0.0003708332347684973,0.0003838590739564385,0.0003967795907917626
16,5.3179682879545e-13,5.717648576819556e-13,7.263079027097774e-13,1.0205170042354439e-12,1.6675549829869851e-12,3.0906388559515108e-12,6.221023696184602e-12,1.3102630092021172e-11,2.8222091330576404e-11,6.141731567765873e-11,1.342097544210219e-10,2.935565124317918e-10,6.414859754499957e-10,1.3983441071729885e-09,3.035823592512088e-09,6.550884057432427e-09,1.401276139567642e-08,2.9608566931571545e-08,6.152316545104952e-08,1.2504863855511417e-07,2.4719825097996306e-07,4.727050677555411e-07,8.707528993401326e-07,1.5413605294334332e-06,2.619584803520425e-06,4.273632673967853e-06,6.690985271395888e-06,1.004986592656465e-05,1.4483629111161633e-05,2.005422919237887e-05,2.6747236441027056e-05,3.448752368928609e-05,4.316455475561476e-05,5.2655900510956144e-05,6.284327727201777e-05,7.362077642025788e-05,8.489747830964234e-05,9.659691381824764e-05,0.00010865517085734133,0.00012101868393221693,0.00013364219564682145,0.00014648705994835254,0.0001595199004853498,0.00017271157517284585,0.0001860363828272149,0.00019947145262388943,0.00021299626845339148,0.00022659229197308228,0.00024024265802080613,0.0002539319236560811,0.00026764585757366177,0.00028137126056360096,0.00029509581035536137,0.00030880792606224894,0.00032249664871675243,0.00033615153527954966,0.00034976256417174056,0.0003633200508446066,0.000376814572293549,0.0003902368997381611,0.00040357793895662297
17,5.642153411145046e-13,6.064038160502605e-13,7.687184222504584e-13,1.077582467701177e-12,1.7559287357471476e-12,3.248734614658133e-12,6.529221607820546e-12,1.3736123349872287e-11,2.956168643208912e-11,6.428524379487044e-11,1.4038259443793777e-10,3.068632015157391e-10,6.701488253213483e-10,1.4599343955978838e-09,3.1676243850142782e-09,6.831208265722921e-09,1.460375109729739e-08,3.083918631574534e-08,6.404228480860752e-08,1.3008797328240007e-07,2.569801134111316e-07,4.909869066871408e-07,9.034016688058699e-07,1.5967232758207217e-06,2.7083676275019286e-06,4.408127969757203e-06,6.883784952282923e-06,1.0312487012997806e-05,1.482553704468259e-05,2.0482515920017264e-05,2.7266877840492754e-05,3.510194554934287e-05,4.387624574841986e-05,5.346692367425021e-05,6.375563719562827e-05,7.46366568509238e-05,8.601938328678393e-05,9.782774436151165e-05,0.00010999826195456919,0.0001224778190429543,0.0001352216100405368,0.00014819143999655893,0.00016135438324349494,0.0001746817507526366,0.00018814830093760726,0.00020173163392889215,0.00021541172099159844,0.0002291705326333826,0.0002429917389386027,0.0002568604633246263,0.0002707630764366975,0.0002846870208212948,0.00029862065970265306,0.000312553145028982,0.00032647430122456633,0.0003403745219412446,0.000354244677733373,0.00036807603300514913,0.00038186017093311264,0.00039558892531443846,0.0004092543185194586
18,5.972999872483342e-13,6.412648190234904e-13,8.113509863960644e-13,1.13509202037676e-12,1.8465229345565604e-12,3.4092728640189307e-12,6.841638366950065e-12,1.4378498391920402e-11,3.091926714660076e-11,6.718958722728985e-11,1.466287091744789e-10,3.203146636820975e-10,6.990945600193754e-10,1.5220664728587963e-09,3.3004439181638645e-09,7.113402311631489e-09,1.5198065916877113e-08,3.2075476719128915e-08,6.657057327608129e-08,1.3514113583745768e-07,2.667809786416342e-07,5.092915045246116e-07,9.36071235857483e-07,1.6520901697791857e-06,2.7971048957020628e-06,4.5424599246501884e-06,7.0761761488125074e-06,1.057423966366322e-05,1.5165788782356415e-05,2.0907901496780568e-05,2.7781782673264033e-05,3.5709079026613466e-05,4.457726809214968e-05,5.426297274668812e-05,6.46477088690478e-05,7.562585211351447e-05,8.710705507319894e-05,9.901557669600436e-05,0.00011128830683282409,0.00012387250888989954,0.00013672375747630916,0.00014980423232469064,0.0001630813761515082,0.00017652686384828087,0.00019011581653649579,0.0002038261998054125,0.00021763835736021697,0.00023153464338898644,0.00024549912707905186,0.0002595173504083004,0.00027357612592404656,0.00028766336516583557,0.0003017679310599597,0.0003158795094808653,0.0003299884964120814,0.0003440858980117145,0.00035816324146975553,0.00037221249498897713,0.00038622599551985104,0.0004001963831163913,0.00041411654098788553
19,6.301625887772389e-13,6.761258219967203e-13,8.544276397515205e-13,1.1928236176572682e-12,1.937561222575823e-12,3.5718095148240536e-12,7.1589401073879344e-12,1.5031309530399994e-11,3.2296387786345804e-11,7.013167824254651e-11,1.5294965294287977e-10,3.339133414215212e-10,7.283258440793361e-10,1.5847472223384784e-09,3.434296402815562e-09,7.397492840510722e-09,1.579575692467472e-08,3.331754050428515e-08,6.910823402428434e-08,1.4020853966734137e-07,2.7660168755438974e-07,5.276206129778416e-07,9.687653341750035e-07,1.7074693146046371e-06,2.885814262887365e-06,4.676666257141804e-06,7.268236365876035e-06,1.0835275105813835e-05,1.5504662871812513e-05,2.133086986089161e-05,2.8292746052871465e-05,3.6310165264064054e-05,4.526947271221715e-05,5.504670007705492e-05,6.552316440822104e-05,7.659329818165972e-05,8.816696282276659e-05,0.00010016870765672259,0.00011253575010394812,0.00012521569234813512,0.00013816444512770865,0.000151344515453955,0.00016472366291364615,0.00017827386998869876,0.00019197055871500446,0.00020579199224091127,0.00021971881207250021,0.00023373367407786283,0.00024782095654751757,0.000261966521384549,0.00027615751514820097,0.0002903822005915213,0.0003046298120827906,0.0003188904301092421,0.0003331548713370047,0.00034741459155851473,0.0003616615994284089,0.00037588837933255626,0.00039008782201510606,0.00040425316183712035,0.0004183779196913484
