,Vds,Idr14,Idr10,Idr18
0,0.01,4.0931861e-06,2.27721577e-06,5.4026217e-06
1,0.02,8.12297204e-06,4.49608459e-06,1.07443069e-05
2,0.03,1.20896523e-05,6.65690563e-06,1.60253041e-05
3,0.04,1.59935189e-05,8.75997579e-06,2.12458599e-05
4,0.05,1.98348614e-05,1.08055896e-05,2.64062193e-05
5,0.06,2.36139667e-05,1.27940393e-05,3.15066257e-05
6,0.07,2.73311192e-05,1.47256146e-05,3.65473205e-05
7,0.08,3.09866003e-05,1.66006028e-05,4.15285435e-05
8,0.09,3.45806889e-05,1.84192886e-05,4.64505324e-05
9,0.1,3.81136607e-05,2.0181954e-05,5.13135234e-05
10,0.11,4.15857886e-05,2.18888786e-05,5.61177505e-05
11,0.12,4.4997342e-05,2.35403389e-05,6.08634458e-05
12,0.13,4.83485872e-05,2.51366086e-05,6.55508396e-05
13,0.14,5.16397867e-05,2.66779586e-05,7.01801598e-05
14,0.15,5.48711993e-05,2.81646566e-05,7.47516325e-05
15,0.16,5.80430796e-05,2.95969677e-05,7.92654812e-05
16,0.17,6.11556782e-05,3.09751538e-05,8.37219275e-05
17,0.18,6.42092405e-05,3.22994745e-05,8.81211903e-05
18,0.19,6.72040071e-05,3.35701874e-05,9.24634861e-05
19,0.2,7.01402131e-05,3.47875491e-05,9.67490287e-05
20,0.21,7.30180872e-05,3.59518166e-05,0.000100978029
21,0.22,7.58378516e-05,3.70632501e-05,0.000105150696
22,0.23,7.85997213e-05,3.81221165e-05,0.000109267234
23,0.24,8.13039026e-05,3.91286949e-05,0.000113327845
24,0.25,8.39505932e-05,4.00832853e-05,0.000117332727
25,0.26,8.65399804e-05,4.09862202e-05,0.000121282074
26,0.27,8.90722399e-05,4.18378813e-05,0.000125176078
27,0.28,9.15475348e-05,4.2638722e-05,0.000129014924
28,0.29,9.39660138e-05,4.33892972e-05,0.000132798792
29,0.3,9.63278092e-05,4.40902997e-05,0.000136527861
30,0.31,9.86330349e-05,4.47426044e-05,0.000140202299
31,0.32,0.000100881784,4.53473148e-05,0.000143822271
32,0.33,0.000103074127,4.59058088e-05,0.000147387936
33,0.34,0.000105210105,4.64197739e-05,0.000150899443
34,0.35,0.000107289734,4.6891224e-05,0.000154356935
35,0.36,0.000109312993,4.73224887e-05,0.000157760544
36,0.37,0.000111279825,4.77161723e-05,0.000161110395
37,0.38,0.000113190132,4.80750849e-05,0.0001644066
38,0.39,0.000115043771,4.8402153e-05,0.000167649258
39,0.4,0.000116840551,4.87003255e-05,0.000170838456
40,0.41,0.00011858023,4.89724843e-05,0.000173974265
41,0.42,0.000120262514,4.9221372e-05,0.000177056739
42,0.43,0.000121887056,4.94495401e-05,0.000180085912
43,0.44,0.000123453467,4.96593185e-05,0.000183061799
44,0.45,0.000124961316,4.98528036e-05,0.000185984388
45,0.46,0.000126410154,5.00318602e-05,0.000188853643
46,0.47,0.000127799528,5.01981334e-05,0.000191669494
47,0.48,0.000129129024,5.0353066e-05,0.00019443184
48,0.49,0.000130398297,5.04979187e-05,0.000197140541
49,0.5,0.000131607131,5.06337909e-05,0.000199795416
50,0.51,0.000132755492,5.07616402e-05,0.000202396233
51,0.52,0.000133843592,5.08823016e-05,0.000204942713
52,0.53,0.000134871947,5.09965034e-05,0.000207434513
