,time,inm,inp,nois,outm,outp,ip,im,vp
452,0.004834876799999378,1.337614647213454,1.3437396215903712,0.04067713440191256,1.126211597258133,1.0912030495756924,0.00017719923759784706,0.00016844710067687174,0.4327188176000878
453,0.004934876799999378,1.3394526715789328,1.3419015972248938,0.040677134401913194,1.1156596905140257,1.1016599743002922,0.00017458500641964747,0.00017108507736196543,0.4327097168132419
454,0.005000000000000001,1.3000000000043397,1.3000000000043397,4.339749080221244e-12,1.1118816081286689,1.111880136216092,0.0001720299659453417,0.00017202959796236428,0.3991974654262595
455,0.0050000010000000004,1.3050031604439134,1.3050031227448016,0.005003141594357348,1.1111997004544985,1.1111998776959369,0.00017220003056905853,0.00017220007487850353,0.4032870293357334
456,0.005000003,1.3150094813273503,1.3150093682300148,0.01500942477868259,1.1103285244061183,1.110329199467331,0.00017241770012788038,0.00017241786889599098,0.41151195980070093
457,0.005000007,1.3350221230936816,1.3350218591998988,0.0350219911467902,1.108719049738261,1.1087205229108243,0.0001728198692632077,0.00017282023756592935,0.4279841119970284
458,0.00500001,1.3500316044197325,1.3500312274286141,0.050031415924173275,1.1075387375747894,1.1075409138429562,0.00017311477153469923,0.00017311531560437743,0.4403517114004009
459,0.0050000108,1.3500341327732603,1.3500337256228523,0.05003392919805622,1.1079325585224862,1.1079348775291786,0.00017301628061261454,0.00017301686036574893,0.44042021906530854
460,0.0050000124,1.3500391894794552,1.3500387220104686,0.05003895574496188,1.1079876084973768,1.1079902701279345,0.00017300243246154423,0.00017300309787060542,0.4404288556526011
461,0.005000015599999999,1.3500493028906193,1.3500487147844746,0.05004900883754697,1.1079351882890776,1.1079385401437365,0.00017301536495750724,0.00017301620291476638,0.4404329082135631
462,0.005000021999999999,1.3500695297065943,1.350068700326134,0.05006911501636421,1.1079822617291026,1.1079869892485537,0.00017300325268365668,0.0001730044345649162,0.4404536228365858
463,0.005000034799999998,1.3501099833017676,1.3501086713726764,0.05010932733722187,1.1079295173151356,1.1079370008400322,0.0001730157497803475,0.00017301762066779247,0.440482697550879
